json_id,influencer_name,sponsored,brand,gender_bias_score,matched_hashtag,hashtags_count
1590263193518078098,unknown,0,Target,5.22,target,24
1590990696084681628,unknown,1,Target,5.23,targetstyle,9
1591441550787932526,unknown,0,Target,5.22,target,10
1591492876134982164,unknown,1,Target,5.22,target,14
1591598029272776704,unknown,0,Target,5.22,targetstyle,8
1592482768284909146,unknown,0,Target,5.22,targetstyle,7
1592931630409638765,unknown,0,Target,5.22,target,25
1593009874161412953,unknown,0,Target,5.22,targetstyle,6
1593663320366499531,unknown,1,Target,5.23,targetstyle,30
1593673608792779835,unknown,0,Target,5.23,targetstyle,22
1593869684940011468,unknown,0,Target,5.23,targetstyle,31
1593918828692256778,unknown,0,Target,5.23,target,22
1594286685797981761,unknown,0,Target,5.23,targetstyle,3
1594542169041278170,unknown,1,Target,5.23,targetstyle,30
1595808162795442010,unknown,0,Target,5.22,targetstyle,12
1595856502198089585,unknown,0,Target,5.23,target,30
1597294182136648075,unknown,0,Target,5.22,targetstyle,30
1598001857112104473,unknown,0,Target,5.22,targetstyle,17
1598019879439600607,unknown,0,Target,5.22,target,16
1598130048823484797,unknown,1,Target,5.22,targetstyle,3
1598797588631352323,naturalme4c,0,Target,5.23,target,22
1599580129170976711,unknown,0,Target,5.22,targetstyle,16
1600108843974297832,unknown,0,Target,5.23,targetstyle,1
1600904415689909878,unknown,0,Target,5.23,targetstyle,1
1601529456441331689,unknown,0,Target,5.23,targetstyle,10
1603049120216566775,unknown,0,Target,5.22,targetstyle,11
1603078773183319281,unknown,0,Target,5.22,targetstyle,19
1603101473317864495,unknown,0,Target,5.22,targetstyle,6
1604103540492702656,unknown,0,Target,5.23,targetstyle,18
1604490195629778751,unknown,0,Target,5.22,targetstyle,30
1605139189825578590,unknown,0,Target,5.23,targetstyle,16
1606091694217289263,unknown,0,Target,5.23,target,15
1606624990474688539,unknown,0,Target,5.22,targetstyle,2
1606727083383685894,unknown,1,Target,5.22,target,15
